Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
130,Bryan Little\littlbr01,28,C,WPG,57,17,25,42,-13,12,13,2,2,2,15,10,0,127,13.4,1117,19:36,22,48,674,640,51.3
131,Chris Kunitz\kunitch01,36,LW,PIT,80,17,23,40,29,41,15,2,0,1,19,4,0,150,11.3,1346,16:49,33,264,5,6,45.5
132,Andre Burakovsky\burakan01,20,LW,WSH,79,17,21,38,4,12,17,0,0,1,17,4,0,126,13.5,1029,13:01,24,37,17,20,45.9
133,Antoine Vermette\vermean01,33,C,ARI,76,17,21,38,-14,93,10,6,1,2,11,10,0,123,13.8,1265,16:39,57,55,754,597,55.8
134,Erik Karlsson\karlser01,25,D,OTT,82,16,66,82,-2,50,15,1,0,3,41,25,0,248,6.5,2375,28:58,175,84,0,1,0.0
135,Kris Letang\letankr01,28,D,PIT,71,16,51,67,9,66,11,5,0,2,26,22,3,218,7.3,1913,26:57,122,135,0,0,
136,Pavel Datsyuk\datsypa01,37,C,DET,66,16,33,49,7,14,8,8,0,1,21,12,0,181,8.8,1297,19:39,33,70,599,517,53.7
137,Connor McDavid\mcdavco01,19,C,EDM,45,16,32,48,-1,18,13,3,0,5,21,11,0,105,15.2,850,18:53,10,12,249,355,41.2
138,Jiri Hudler\hudleji01,32,C,TOT,72,16,30,46,-1,27,13,3,0,1,23,7,0,109,14.7,1135,15:46,7,28,11,15,42.3
139,Bo Horvat\horvabo01,20,C,VAN,82,16,24,40,-30,18,12,4,0,4,16,8,0,155,10.3,1405,17:08,53,69,760,733,50.9
140,Ondrej Palat\palaton01,24,LW,TBL,62,16,24,40,10,20,13,1,2,4,17,6,1,117,13.7,1111,17:55,39,108,2,6,25.0
141,Justin Faulk\faulkju01,23,D,CAR,64,16,21,37,-22,27,4,12,0,4,16,5,0,184,8.7,1539,24:03,65,109,0,1,0.0
142,Cody Eakin\eakinco01,24,C,DAL,82,16,19,35,3,42,11,2,3,1,16,2,1,132,12.1,1342,16:22,47,98,567,621,47.7
143,Matt Cullen\cullema01,39,C,PIT,82,16,16,32,5,20,13,0,3,4,13,0,3,118,13.6,1138,13:53,41,40,582,462,55.7
144,Calle Jarnkrok\jarnkca01,24,C,NSH,81,16,14,30,1,14,12,3,1,4,13,1,0,125,12.8,1307,16:08,24,35,366,433,45.8
145,Nikolaj Ehlers\ehlerni01,19,RW,WPG,72,15,23,38,3,21,11,4,0,0,16,7,0,167,9.0,1159,16:06,25,29,0,2,0.0
146,Kris Versteeg\verstkr01,29,RW,TOT,77,15,23,38,0,45,13,2,0,4,16,7,0,156,9.6,1185,15:23,32,20,8,8,50.0
147,Matt Beleskey\belesma01,27,LW,BOS,80,15,22,37,6,65,12,3,0,1,18,4,0,168,8.9,1269,15:51,44,260,6,19,24.0
